Date,Price (USD),Market Cap (USD),Total Volume (USD),Circulating Supply
2023-12-04,0.0124343549491927,564176702.9087675,46886180.443019584,45372414187.46816
2023-12-05,0.0128727128909386,588900165.3799062,38188764.05247846,45747945314.18807
2023-12-06,0.0140954060728355,649623167.4789793,35513877.6994803,46087580884.308205
2023-12-07,0.0153279210135325,706929569.4870865,84447299.8472648,46120381809.31122
2023-12-08,0.0151843092246593,707553811.1597201,43110044.420165606,46597695073.98148
2023-12-09,0.015529789596563,720838428.5552566,31233592.612018947,46416496764.05055
2023-12-10,0.0173048427919516,804486028.46427,73493872.53276515,46489068877.2064
2023-12-11,0.0180859715090635,839919364.3244908,41096564.37133083,46440378605.23972
2023-12-12,0.0176230747038687,824364260.2072296,45959260.13786615,46777550118.78031
2023-12-13,0.0198188842597929,927204798.5767564,80735024.20349668,46783905008.10369
2023-12-14,0.0236611692130974,1113803902.2393453,107933680.74290004,47073071166.01862
2023-12-15,0.0239764685697279,1129636432.198164,118676245.69438016,47114379205.30177
2023-12-16,0.0207672938951537,989019945.7635578,58872130.46215805,47623920129.2545
2023-12-17,0.0186411625989612,886429039.1414663,56326648.74738404,47552240072.77631
2023-12-18,0.0195201473008804,927430306.296345,54918139.29418387,47511439949.76488
2023-12-19,0.020509521298581,974715081.7955184,24096578.45787233,47525004002.06582
2023-12-20,0.0188439910381043,895958318.7040495,40164205.70860886,47546101932.03431
2023-12-21,0.0202849574218077,969358647.1070588,54255410.76108936,47787068365.49387
2023-12-22,0.0195130486025442,929203261.7954437,34117260.7194638,47619584244.47778
2023-12-23,0.0185223801103619,884113946.3989986,29527534.96516276,47732199702.80177
2023-12-24,0.0198201493333587,948464149.0477136,36262334.417775616,47853531933.35321
2023-12-25,0.0194747847340458,927203652.6251276,25368519.577810347,47610469912.11096
2023-12-26,0.0210077886751685,1005763334.1990604,44525191.95657037,47875735506.98773
2023-12-27,0.019598430758129,939515335.4316142,28421625.970810823,47938293990.29419
2023-12-28,0.019294109123347,923201820.0636344,24032034.67303582,47848895958.94864
2023-12-29,0.0181397000610878,870839123.2262989,26230477.590561405,48007360667.13529
2023-12-30,0.0179777652117293,861851199.3957641,17994782.186128255,47939840644.56796
2023-12-31,0.0169369216756568,813072972.4998299,17045954.777844418,48005947483.85981
2024-01-01,0.0170686732600127,820029303.3471866,17752245.033223663,48042943400.19343
2024-01-02,0.0180947868780157,868565574.5116876,18049910.49331103,48000873421.004616
2024-01-03,0.0176581663879084,859956388.2824817,25500589.55873313,48700208696.15008
2024-01-04,0.0187090243014192,908787630.8257536,48783758.78227978,48574827643.83469
2024-01-05,0.0211512614716437,1036436387.2105602,123491400.90996152,49001161873.96422
2024-01-06,0.0196715230302666,967754186.9037032,40293890.78294653,49195691935.73435
2024-01-07,0.0182173395026576,903418308.8433176,22959224.17103723,49591122167.51095
2024-01-08,0.0179506771505999,884676135.3595234,28691201.84529353,49283719379.35267
2024-01-09,0.0191687512182741,949277483.0824088,36851636.48227491,49522134867.9946
2024-01-10,0.0178909227528275,883794765.5122858,28429771.63917362,49399059943.54649
2024-01-11,0.0203486482752246,1022536025.1567646,38067132.9112579,50250808374.41901
2024-01-12,0.0191179411135603,958699306.2703984,36758857.7737237,50146577007.206665
2024-01-13,0.0178243588818271,894955231.4770279,26253704.88346325,50209673032.86737
2024-01-14,0.0185224713014044,931333606.5125974,16802260.89065246,50281282198.12545
2024-01-15,0.0177675903086751,899873693.771165,17350692.490404326,50646918244.83349
2024-01-16,0.0192686909812253,967685749.216547,28431831.288307875,50220627346.16597
2024-01-17,0.0215619219486752,1087120961.0906217,42930792.98062753,50418555622.19086
2024-01-18,0.0206783883131282,1040512137.622518,50456714.05008362,50318821847.538216
2024-01-19,0.0189474843138519,955866210.6147716,31536707.11930468,50448185879.53481
2024-01-20,0.0187625044657626,947672016.8159248,29882780.12237643,50508822984.970665
2024-01-21,0.0184466716187209,933578933.4547168,11188496.832150942,50609614175.9934
2024-01-22,0.017937184982015,908917970.3092266,10984475.067774195,50672275009.73898
2024-01-23,0.0168500619195525,852616802.9662931,19754982.407113142,50600217793.67648
2024-01-24,0.017205744961432,870145477.6623901,22977165.19959961,50572961508.66376
2024-01-25,0.0176930996137095,895707589.698275,17452695.527265787,50624684721.959946
2024-01-26,0.016656609843267,844111718.9358345,11817399.117414923,50677282284.84863
2024-01-27,0.0174291355749602,882970954.975323,15229682.19382028,50660628071.75893
2024-01-28,0.0182666823316718,925778869.9162632,11590289.648125555,50681281532.50331
2024-01-29,0.0179993240338439,913437557.1067808,14621902.424472189,50748436740.69381
2024-01-30,0.0191790668000621,974138908.2542716,12523546.8327162,50791778265.82853
